state,year,device_type,e_waste_quantity,lead_content_kg,plastic_content_kg,economic_recovery_potential,informal_collection_rate
Punjab,2018,Television,463127,2913.87,5043.78,1156452,0.4
Kerala,2019,Printer,376836,2319.34,4169.26,987763,0.63
Maharashtra,2020,Monitor,382209,1908.71,11982.74,896961,0.47
Maharashtra,2018,Monitor,415628,2338.33,10133.56,1069263,0.49
Gujarat,2019,Air Conditioner,455539,3023.32,13665.54,1060604,0.27
Tamil Nadu,2019,Air Conditioner,458579,2323.1,7602.22,1085249,0.44
Tamil Nadu,2018,Refrigerator,506129,2476.39,4525.99,1153967,0.59
Punjab,2019,Smartphone,302740,1362.61,6076.53,775190,0.4
Punjab,2019,Printer,338273,2113.73,4531.06,874765,0.35
Maharashtra,2021,Monitor,385088,1472.15,14640.04,979117,0.52
Gujarat,2023,Television,414567,606.13,13073.82,1089185,0.24
Delhi,2021,Laptop,366286,1742.52,10002.48,970793,0.4
West Bengal,2021,Television,442554,2399.71,6240.36,1115266,0.24
Delhi,2023,Air Conditioner,467788,1902.71,14023.61,1186260,0.41
Tamil Nadu,2018,Printer,381490,1468.47,6123.38,1021438,0.59
West Bengal,2019,Refrigerator,486589,1893.53,7863.34,1196944,0.57
West Bengal,2023,Printer,344267,1941.2,13620.26,876239,0.26
Punjab,2020,Air Conditioner,501303,2616.4,6873.77,1176099,0.62
West Bengal,2022,Laptop,372767,1832.08,11695.08,900957,0.46
Karnataka,2020,Refrigerator,538414,3196.68,8767.69,1369416,0.49
Rajasthan,2022,Air Conditioner,479319,2146.02,13000.53,1220803,0.48
Maharashtra,2019,Printer,338639,602.63,7673.37,753651,0.42
Punjab,2018,Refrigerator,504364,1602.86,8141.25,1278493,0.49
Uttar Pradesh,2023,Monitor,368329,1208.25,13278.97,973704,0.41
Punjab,2021,Television,439603,779.8,7167.67,1125106,0.49
Punjab,2021,Air Conditioner,463112,1498.47,7389.09,1161349,0.32
Tamil Nadu,2021,Air Conditioner,462172,707.22,11493.76,1222779,0.42
Gujarat,2020,Smartphone,281962,867.82,13525.78,694670,0.47
Punjab,2020,Television,464673,3113.57,8833.3,1119289,0.54
Delhi,2019,Television,442883,762.02,8650.02,1149669,0.46
Maharashtra,2021,Television,445706,2558.02,6636.82,1106900,0.22
Uttar Pradesh,2023,Monitor,396504,1633.08,13636.99,1010061,0.26
Rajasthan,2023,Laptop,415375,3236.47,13313.42,990188,0.43
Tamil Nadu,2023,Laptop,392863,1153.59,5793.75,989300,0.38
West Bengal,2018,Printer,359395,876.88,13660.69,965064,0.22
Punjab,2022,Refrigerator,507011,2955.47,12538.5,1275968,0.5
Tamil Nadu,2019,Printer,371356,505.19,8015.3,879255,0.31
Kerala,2019,Smartphone,267775,1277.05,6338.65,667861,0.36
Delhi,2022,Refrigerator,496504,1317.48,8767.12,1302094,0.27
Punjab,2020,Laptop,391340,1034.88,13994.48,898461,0.57
Uttar Pradesh,2022,Smartphone,299938,2707.15,5063.78,690187,0.53
Kerala,2021,Air Conditioner,477059,1262.75,11051.05,1165888,0.64
Uttar Pradesh,2019,Television,456344,1077.52,4511.6,1125622,0.52
Rajasthan,2018,Monitor,409805,1496.4,11825.18,926334,0.28
Tamil Nadu,2021,Air Conditioner,490804,846.05,13401.49,1139365,0.43
West Bengal,2023,Laptop,398518,1694.03,10479.22,1027635,0.37
Kerala,2023,Printer,346334,2593.76,9361.94,915772,0.55
Punjab,2018,Air Conditioner,505587,2548.07,7992.83,1271715,0.39
Kerala,2021,Printer,372785,1120.56,14949.8,971093,0.4
Kerala,2019,Printer,349903,835.36,13572.01,854292,0.24
Uttar Pradesh,2019,Television,439567,2622.32,5127.87,1097169,0.56
Punjab,2018,Television,465861,1254.76,14299.75,1156588,0.27
Tamil Nadu,2019,Monitor,407390,999.5,6956.39,958123,0.2
Gujarat,2021,Printer,329089,1212.72,8198.7,804395,0.58
Rajasthan,2023,Television,446676,2217.49,5128.55,1118096,0.37
Maharashtra,2021,Air Conditioner,465212,2330.91,13247.02,1133623,0.2
Punjab,2019,Smartphone,278405,2736.7,6997.57,684972,0.26
Rajasthan,2018,Air Conditioner,453969,2484.48,4039.33,1163250,0.59
Kerala,2018,Printer,316144,2551.52,10055.49,892548,0.24
Punjab,2020,Air Conditioner,475819,1099.85,10885.14,1233545,0.31
Uttar Pradesh,2020,Smartphone,285029,1245.25,8590.78,695135,0.63
Rajasthan,2022,Laptop,416981,2270.49,5601.8,1022223,0.35
Tamil Nadu,2022,Television,457889,2808.65,8149.81,1138294,0.44
Gujarat,2022,Printer,370304,1637.52,5133.16,975702,0.64
Gujarat,2021,Monitor,387138,3181.33,4504.27,1021724,0.21
Delhi,2022,Laptop,415305,1817.89,8707.02,1081577,0.54
West Bengal,2019,Refrigerator,481507,2332.2,7248.6,1232114,0.33
Rajasthan,2020,Laptop,378136,1831.12,11579.94,889253,0.33
Karnataka,2018,Television,435535,2588.82,6121.11,1037235,0.62
Maharashtra,2023,Laptop,364491,3029.08,7841.6,847366,0.38
Uttar Pradesh,2022,Monitor,400108,691.02,12050.36,980702,0.47
Karnataka,2023,Laptop,406771,3212.78,6321.35,1033389,0.42
Delhi,2019,Smartphone,287474,2363.06,8310.56,673273,0.31
West Bengal,2022,Air Conditioner,509506,1882.17,4128.54,1246765,0.26
Karnataka,2021,Printer,380382,3294.42,9233.88,909404,0.23
Rajasthan,2019,Television,428634,873.33,10898.97,1002038,0.6
Punjab,2018,Television,462770,3468.59,6000.55,1192997,0.42
Karnataka,2021,Air Conditioner,493535,3461.1,6790.23,1271306,0.32
Karnataka,2020,Printer,389965,1729.57,8832.04,958335,0.21
Uttar Pradesh,2023,Laptop,427887,1596.02,6499.42,1057526,0.38
Kerala,2022,Printer,338498,1365.94,7325.29,892206,0.45
Punjab,2020,Television,425581,1595.13,14036.82,1194178,0.24
Tamil Nadu,2018,Television,448843,1304.01,11186.28,1084280,0.56
Karnataka,2019,Laptop,411363,763.47,9551.07,1148714,0.32
Karnataka,2022,Refrigerator,486467,1510.44,8010.62,1127607,0.28
Punjab,2023,Refrigerator,476207,864.75,9540.96,1118446,0.31
Gujarat,2022,Smartphone,303303,728.96,10733.18,726670,0.47
Tamil Nadu,2023,Laptop,412142,2384.04,8519.33,951361,0.48
Gujarat,2019,Air Conditioner,511657,3211.69,6111.13,1200671,0.49
Kerala,2022,Monitor,392397,2432.09,11916.31,1024797,0.53
Uttar Pradesh,2019,Laptop,417745,936.57,13464.14,978704,0.27
Karnataka,2022,Smartphone,296102,2299.77,9774.8,773662,0.53
Uttar Pradesh,2019,Monitor,373486,1724.42,11666.25,940583,0.5
Rajasthan,2021,Laptop,412896,3304.0,7689.64,1032125,0.26
Maharashtra,2022,Smartphone,322858,527.97,13344.1,833646,0.26
Delhi,2023,Printer,361448,1949.34,7680.03,1001827,0.4
Rajasthan,2023,Laptop,418559,1041.24,4735.23,1086399,0.38
Kerala,2018,Refrigerator,528437,773.45,7941.49,1306399,0.46
Delhi,2019,Monitor,396279,3061.34,6570.15,889504,0.23
West Bengal,2023,Air Conditioner,502849,2676.41,7988.14,1239644,0.23
Punjab,2018,Refrigerator,485699,679.57,7181.55,1146082,0.64
Uttar Pradesh,2023,Television,448848,3087.16,7789.43,1125538,0.46
Tamil Nadu,2022,Television,449460,900.99,9656.74,1127082,0.22
Gujarat,2021,Air Conditioner,511872,3028.39,13426.42,1172089,0.25
West Bengal,2019,Refrigerator,500486,2789.66,6248.83,1311348,0.41
Punjab,2019,Television,454002,1729.18,5153.77,1130626,0.43
Delhi,2020,Printer,382680,1627.31,14125.99,965016,0.65
Punjab,2020,Smartphone,303395,1523.56,10404.66,741745,0.31
